date,state,district,total,anomaly_score
01-03-2025,Haryana,Mahendragarh,857,0.02556024339473495
01-03-2025,Jammu & Kashmir,Punch,1734,0.07693280707314831
01-03-2025,Bihar,Bhojpur,1236,0.06322147034366565
01-03-2025,Tamil Nadu,Madurai,1086,0.050846840800042536
01-03-2025,Maharashtra,Ratnagiri,684,0.0020984583644443333
01-03-2025,Bihar,Vaishali,1384,0.0723376008932739
01-03-2025,Maharashtra,Wardha,807,0.020704254576667136
01-03-2025,Odisha,Nabarangapur,1043,0.04973098135782328
01-03-2025,Gujarat,Dahod,910,0.03481373644403185
01-03-2025,Tamil Nadu,Tiruppur,722,0.007898588037626997
01-03-2025,Haryana,Mahendragarh,1184,0.05926409043068592
01-03-2025,Telangana,Hyderabad,1235,0.06322147034366565
01-03-2025,Tamil Nadu,Tirunelveli,673,0.0015733112327384058
01-03-2025,Rajasthan,Baran,1018,0.045282612491180374
01-03-2025,Madhya Pradesh,Balaghat,729,0.011612118586514564
01-03-2025,Uttar Pradesh,Hardoi,1019,0.045282612491180374
01-03-2025,Uttar Pradesh,Siddharthnagar,1129,0.0581368486994831
01-03-2025,Bihar,Darbhanga,1297,0.06776719995023395
01-03-2025,Madhya Pradesh,Jabalpur,1136,0.0581368486994831
01-03-2025,Uttar Pradesh,Hardoi,1353,0.071764946991978
01-03-2025,Gujarat,Kachchh,678,0.0020984583644443333
01-03-2025,Karnataka,Davangere,835,0.021242349822598428
01-03-2025,Rajasthan,Rajsamand,799,0.020704254576667136
01-03-2025,Gujarat,Vadodara,744,0.01480917315247765
01-03-2025,Odisha,Balangir,729,0.011612118586514564
01-03-2025,Maharashtra,Amravati,1304,0.06776719995023395
01-03-2025,Odisha,Kendrapara,864,0.027185488448884798
01-03-2025,Jharkhand,Palamu,2658,0.09028341947608298
01-03-2025,Tamil Nadu,Salem,840,0.0217808092595988
01-03-2025,Jammu & Kashmir,Kupwara,1207,0.05926409043068592
01-03-2025,Gujarat,Banaskantha,1056,0.050846840800042536
01-03-2025,Odisha,Baleswar,702,0.0036760332874871127
01-03-2025,Bihar,Katihar,1522,0.07119268040943305
01-03-2025,Madhya Pradesh,Rewa,1487,0.07119268040943305
01-03-2025,Maharashtra,Wardha,874,0.02772797029274754
01-03-2025,Madhya Pradesh,Morena,3387,0.09556438768664122
01-03-2025,Jharkhand,Ranchi,812,0.020704254576667136
01-03-2025,Madhya Pradesh,Jhabua,676,0.0020984583644443333
01-03-2025,Uttar Pradesh,Siddharthnagar,2127,0.08445326928272845
01-03-2025,Bihar,Begusarai,1691,0.0763570451697706
01-03-2025,Odisha,Kalahandi,1793,0.07808550019695992
01-03-2025,Odisha,Koraput,949,0.03645778293320845
01-03-2025,Chhattisgarh,Koriya,1082,0.050846840800042536
01-03-2025,Madhya Pradesh,Khargone,762,0.01694776453489799
01-03-2025,Madhya Pradesh,Jabalpur,816,0.020704254576667136
01-03-2025,West Bengal,Uttar Dinajpur,766,0.01801923259755811
01-03-2025,Jharkhand,Bokaro,706,0.0063124510387230215
01-03-2025,Bihar,Darbhanga,711,0.005784453741542128
01-03-2025,Jharkhand,Godda,1743,0.07808550019695992
01-03-2025,Rajasthan,Barmer,1645,0.07405788913198608
01-03-2025,Uttar Pradesh,Unnao,1634,0.07405788913198608
01-03-2025,Jharkhand,Latehar,938,0.03536138120247778
01-03-2025,Jharkhand,Latehar,768,0.01801923259755811
01-03-2025,West Bengal,Birbhum,894,0.030445891884355647
01-03-2025,Uttar Pradesh,Aligarh,889,0.02881403570892871
01-03-2025,Uttar Pradesh,Meerut,1701,0.07693280707314831
01-03-2025,Maharashtra,Nanded,1045,0.05028872233513304
01-03-2025,Uttar Pradesh,Kushinagar,760,0.01855551057966398
01-03-2025,Uttar Pradesh,Gorakhpur,1271,0.06492323624326646
01-03-2025,Punjab,Sangrur,954,0.03645778293320845
01-03-2025,Madhya Pradesh,Jhabua,1484,0.07119268040943305
01-03-2025,Tamil Nadu,The Nilgiris,737,0.01267636171192199
01-03-2025,Jharkhand,Lohardaga,678,0.0020984583644443333
01-03-2025,Telangana,Nalgonda,841,0.0217808092595988
01-03-2025,Uttar Pradesh,Chandauli,737,0.01267636171192199
01-03-2025,Uttar Pradesh,Lucknow,1002,0.045282612491180374
01-03-2025,Himachal Pradesh,Chamba,818,0.020704254576667136
01-03-2025,Haryana,Fatehabad,674,0.0015733112327384058
01-03-2025,Rajasthan,Alwar,1325,0.06776719995023395
01-03-2025,Uttar Pradesh,Sonbhadra,864,0.027185488448884798
01-03-2025,Gujarat,Panchmahals,1732,0.07693280707314831
01-03-2025,Rajasthan,Jalor,965,0.038105169829416474
01-03-2025,Maharashtra,Ratnagiri,742,0.01480917315247765
01-03-2025,Haryana,Faridabad,782,0.01855551057966398
01-03-2025,Bihar,Bhagalpur,922,0.03481373644403185
01-03-2025,Uttar Pradesh,Rampur,1387,0.0723376008932739
01-03-2025,Punjab,Tarn Taran,831,0.021242349822598428
01-03-2025,Punjab,Malerkotla,807,0.020704254576667136
01-03-2025,Uttar Pradesh,Kannauj,647,0.0005240822906685816
01-03-2025,Uttar Pradesh,Bara Banki,1187,0.05926409043068592
01-03-2025,Madhya Pradesh,Dhar,648,0.0005240822906685816
01-03-2025,Rajasthan,Hanumangarh,903,0.032081063698287116
01-03-2025,Odisha,Kalahandi,694,0.0036760332874871127
01-03-2025,Rajasthan,Dausa,1365,0.071764946991978
01-03-2025,Maharashtra,Chandrapur,1298,0.06776719995023395
01-03-2025,Bihar,Muzaffarpur,1463,0.07119268040943305
01-03-2025,Bihar,West Champaran,1394,0.0723376008932739
01-03-2025,Madhya Pradesh,Balaghat,1168,0.05926409043068592
01-03-2025,Bihar,Jamui,1374,0.071764946991978
01-03-2025,Madhya Pradesh,Guna,719,0.007898588037626997
01-03-2025,Tamil Nadu,Coimbatore,948,0.03645778293320845
01-03-2025,Tamil Nadu,Ariyalur,2036,0.08387242085846591
01-03-2025,Odisha,Balangir,912,0.03481373644403185
01-03-2025,Nagaland,Kohima,831,0.021242349822598428
01-03-2025,Uttar Pradesh,Moradabad,9411,0.0967423096210136
01-03-2025,Jharkhand,Giridih,1183,0.05926409043068592
01-03-2025,Maharashtra,Gondiya,787,0.01855551057966398
01-03-2025,Punjab,Ferozepur,836,0.021242349822598428
01-03-2025,Bihar,Muzaffarpur,819,0.020704254576667136
01-03-2025,Punjab,SAS Nagar (Mohali),818,0.020704254576667136
01-03-2025,Maharashtra,Yavatmal,2251,0.08445326928272845
01-03-2025,Chhattisgarh,Raipur,974,0.03975590391976269
01-03-2025,Maharashtra,Nagpur,775,0.01801923259755811
01-03-2025,Uttar Pradesh,Chitrakoot,1658,0.07463209493149248
01-03-2025,Bihar,Gopalganj,1265,0.06378834188966742
01-03-2025,Bihar,Patna,1719,0.07693280707314831
01-03-2025,Maharashtra,Dhule,1426,0.07119268040943305
01-03-2025,Uttar Pradesh,Auraiya,801,0.020704254576667136
01-03-2025,Haryana,Mewat,942,0.03536138120247778
01-03-2025,Gujarat,Dahod,714,0.007898588037626997
01-03-2025,Punjab,Bathinda,1305,0.06776719995023395
01-03-2025,Uttar Pradesh,Banda,1405,0.071764946991978
01-03-2025,Uttar Pradesh,Mathura,1682,0.0763570451697706
01-03-2025,Madhya Pradesh,Datia,779,0.01855551057966398
01-03-2025,Maharashtra,Solapur,1313,0.06776719995023395
01-03-2025,Madhya Pradesh,Gwalior,876,0.02772797029274754
01-03-2025,Delhi,Central Delhi,1690,0.0763570451697706
01-03-2025,Maharashtra,Thane,677,0.0020984583644443333
01-03-2025,Maharashtra,Nagpur,1102,0.0547642611901088
01-03-2025,Andhra Pradesh,Vizianagaram,665,0.0026239609237379558
01-03-2025,Maharashtra,Raigarh,1142,0.0581368486994831
01-03-2025,Maharashtra,Pune,849,0.02339837518274901
01-03-2025,Odisha,Kandhamal,1326,0.06776719995023395
01-03-2025,Bihar,Samastipur,1166,0.05926409043068592
01-03-2025,Uttar Pradesh,Muzaffarnagar,1612,0.07348407170086846
01-03-2025,Madhya Pradesh,Tikamgarh,1227,0.06322147034366565
01-03-2025,Jammu & Kashmir,Kupwara,1204,0.05926409043068592
01-03-2025,Odisha,Ganjam,771,0.01801923259755811
01-03-2025,Gujarat,Kheda,700,0.0036760332874871127
01-03-2025,Uttar Pradesh,Bahraich,3880,0.09556438768664122
01-03-2025,Uttar Pradesh,Faizabad,1029,0.045282612491180374
01-03-2025,Bihar,Araria,2695,0.09028341947608298
01-03-2025,Jharkhand,Dumka,982,0.04030689361253026
01-03-2025,Jammu & Kashmir,Baramula,730,0.011612118586514564
01-03-2025,Andhra Pradesh,Prakasam,1188,0.05926409043068592
01-03-2025,Haryana,Kurukshetra,1023,0.045282612491180374
01-03-2025,Madhya Pradesh,Anuppur,792,0.019629155672885035
01-03-2025,Madhya Pradesh,Ratlam,3936,0.09556438768664122
01-03-2025,Jammu & Kashmir,Punch,1906,0.07808550019695992
01-03-2025,Tamil Nadu,Tirunelveli,752,0.016412573963858756
01-03-2025,Gujarat,Narmada,1502,0.07119268040943305
01-03-2025,Uttar Pradesh,Kheri,901,0.032081063698287116
01-03-2025,Maharashtra,Akola,683,0.0020984583644443333
01-03-2025,Uttar Pradesh,Jalaun,777,0.01855551057966398
01-03-2025,Chhattisgarh,Raigarh,934,0.03536138120247778
01-03-2025,Uttar Pradesh,Kheri,895,0.030445891884355647
01-03-2025,Maharashtra,Nagpur,2159,0.08445326928272845
01-03-2025,Maharashtra,Gondiya,1260,0.06378834188966742
01-03-2025,Madhya Pradesh,Rewa,744,0.01480917315247765
01-03-2025,Bihar,Aurangabad,803,0.020704254576667136
01-03-2025,Uttar Pradesh,Kaushambi,984,0.041962101209954805
01-03-2025,Maharashtra,Yavatmal,856,0.02339837518274901
01-03-2025,Maharashtra,Nandurbar,843,0.0217808092595988
01-03-2025,Bihar,Khagaria,1480,0.07119268040943305
01-03-2025,Telangana,Nizamabad,1067,0.050846840800042536
01-03-2025,Uttarakhand,Udham Singh Nagar,1179,0.05926409043068592
01-03-2025,Uttar Pradesh,Shamli,700,0.0036760332874871127
01-03-2025,Uttar Pradesh,Siddharthnagar,1852,0.07808550019695992
01-03-2025,Madhya Pradesh,Rewa,700,0.0036760332874871127
01-03-2025,Madhya Pradesh,Chhindwara,2273,0.08445326928272845
01-03-2025,Jharkhand,Simdega,1732,0.07693280707314831
01-03-2025,Uttar Pradesh,Deoria,764,0.01694776453489799
01-03-2025,Maharashtra,Hingoli,1211,0.060392858547045236
01-03-2025,Uttar Pradesh,Saharanpur,724,0.009487947781884443
01-03-2025,Maharashtra,Nagpur,980,0.04030689361253026
01-03-2025,Karnataka,Davangere,682,0.0020984583644443333
01-03-2025,Rajasthan,Baran,1297,0.06776719995023395
01-03-2025,Madhya Pradesh,Sidhi,1945,0.08039557110390061
01-03-2025,Bihar,Aurangabad,665,0.0026239609237379558
01-03-2025,Maharashtra,Pune,1059,0.050846840800042536
01-03-2025,Rajasthan,Jaipur,889,0.02881403570892871
01-03-2025,Madhya Pradesh,Damoh,1207,0.05926409043068592
01-03-2025,Gujarat,Kachchh,653,0.0005240822906685816
01-03-2025,Haryana,Kurukshetra,944,0.03645778293320845
01-03-2025,Bihar,Gaya,647,0.0005240822906685816
01-03-2025,Bihar,Purnia,1178,0.05926409043068592
01-03-2025,Bihar,Patna,793,0.019629155672885035
01-03-2025,Maharashtra,Mumbai Suburban,878,0.02772797029274754
01-03-2025,Maharashtra,Aurangabad,934,0.03536138120247778
01-03-2025,Punjab,Amritsar,672,0.0015733112327384058
01-03-2025,Gujarat,Anand,837,0.021242349822598428
01-03-2025,Madhya Pradesh,Damoh,790,0.01855551057966398
01-03-2025,Bihar,Katihar,1142,0.0581368486994831
01-03-2025,Madhya Pradesh,Mandla,778,0.01855551057966398
01-03-2025,Bihar,Madhubani,2276,0.08445326928272845
01-03-2025,Rajasthan,Jaipur,887,0.02881403570892871
01-03-2025,Tamil Nadu,Krishnagiri,1259,0.06378834188966742
01-03-2025,Andhra Pradesh,Guntur,677,0.0020984583644443333
01-03-2025,Delhi,Central Delhi,1391,0.0723376008932739
01-03-2025,Odisha,Kalahandi,1143,0.05926409043068592
01-03-2025,Uttar Pradesh,Ambedkar Nagar,684,0.0020984583644443333
01-03-2025,Maharashtra,Nandurbar,1121,0.0570111312893713
01-03-2025,Bihar,Saharsa,1964,0.08039557110390061
01-03-2025,Uttar Pradesh,Bareilly,790,0.01855551057966398
01-03-2025,Maharashtra,Jalgaon,1202,0.05926409043068592
01-03-2025,Uttarakhand,Udham Singh Nagar,2164,0.08445326928272845
01-03-2025,Bihar,Begusarai,1388,0.0723376008932739
01-03-2025,Tamil Nadu,Krishnagiri,941,0.03536138120247778
01-03-2025,Mizoram,Aizawl,1656,0.07463209493149248
01-03-2025,Rajasthan,Jaipur,1198,0.05926409043068592
01-03-2025,Uttar Pradesh,Balrampur,792,0.019629155672885035
01-03-2025,Tamil Nadu,Kancheepuram,1053,0.04973098135782328
01-03-2025,Uttar Pradesh,Kushinagar,1311,0.06776719995023395
01-03-2025,Uttarakhand,Udham Singh Nagar,952,0.03645778293320845
01-03-2025,Jharkhand,Dhanbad,1564,0.07348407170086846
01-03-2025,Uttar Pradesh,Agra,2203,0.08445326928272845
01-03-2025,Gujarat,Mahesana,1094,0.050846840800042536
01-03-2025,Bihar,Supaul,1202,0.05926409043068592
01-03-2025,Maharashtra,Mumbai,948,0.03645778293320845
01-03-2025,Bihar,Vaishali,820,0.020704254576667136
01-03-2025,Tripura,Unakoti,884,0.02881403570892871
01-03-2025,Uttar Pradesh,Aligarh,691,0.0042026035735486245
01-03-2025,Uttar Pradesh,Ghaziabad,1337,0.06776719995023395
01-03-2025,Uttar Pradesh,Shahjahanpur,2112,0.08445326928272845
01-03-2025,Karnataka,Kalaburagi,739,0.01480917315247765
01-03-2025,Maharashtra,Latur,701,0.0036760332874871127
01-03-2025,Tripura,South Tripura,1311,0.06776719995023395
01-03-2025,Delhi,South Delhi,1722,0.07693280707314831
01-03-2025,Himachal Pradesh,Shimla,850,0.02339837518274901
01-03-2025,Maharashtra,Akola,1206,0.05926409043068592
01-03-2025,Bihar,Bhagalpur,1374,0.071764946991978
01-03-2025,Maharashtra,Buldhana,1735,0.07693280707314831
01-03-2025,Bihar,West Champaran,1196,0.05926409043068592
01-03-2025,Madhya Pradesh,Barwani,916,0.03481373644403185
01-03-2025,Chhattisgarh,Jashpur,725,0.011080536819534803
01-03-2025,Delhi,South West Delhi,4814,0.09556438768664122
