date,state,district,total,anomaly_score
01-03-2025,Uttar Pradesh,Gorakhpur,578,0.05985008527173008
01-03-2025,Andhra Pradesh,Chittoor,397,0.041617771852231145
01-03-2025,Gujarat,Rajkot,830,0.07963742867312207
01-03-2025,Andhra Pradesh,Srikakulam,338,0.030113855206075013
01-03-2025,Rajasthan,Udaipur,830,0.07963742867312207
01-03-2025,Rajasthan,Sikar,313,0.02154327220257013
01-03-2025,Karnataka,Tumakuru,420,0.04545128867108106
01-03-2025,Uttar Pradesh,Gorakhpur,897,0.08135539063915287
01-03-2025,Andhra Pradesh,Kurnool,1069,0.08999770138063512
01-03-2025,West Bengal,Paschim Medinipur,294,0.017292647843253794
01-03-2025,Uttar Pradesh,Ghazipur,1725,0.10165806848896464
01-03-2025,Gujarat,Patan,836,0.07963742867312207
01-03-2025,Telangana,Mulugu,305,0.02101068509420878
01-03-2025,Rajasthan,Ganganagar,570,0.05985008527173008
01-03-2025,Odisha,Nayagarh,343,0.03119171638457774
01-03-2025,Maharashtra,Nashik,240,0.001037084351028339
01-03-2025,Tamil Nadu,Kancheepuram,742,0.0750732080890576
01-03-2025,Madhya Pradesh,Jabalpur,1360,0.0952253451758337
01-03-2025,Assam,Tinsukia,438,0.04820065218345171
01-03-2025,Bihar,Jamui,640,0.06601854784687489
01-03-2025,Bihar,Gaya,2786,0.10873040239373344
01-03-2025,Karnataka,Bengaluru,530,0.05372736075486939
01-03-2025,Tamil Nadu,Tiruppur,693,0.07223309015335644
01-03-2025,Maharashtra,Jalgaon,715,0.07280034536666613
01-03-2025,Tripura,Dhalai,535,0.0548371967116007
01-03-2025,Odisha,Nabarangapur,502,0.05151218916396516
01-03-2025,Rajasthan,Chittorgarh,2533,0.10873040239373344
01-03-2025,Bihar,Darbhanga,1653,0.10165806848896464
01-03-2025,Bihar,Purnia,480,0.049854740268833186
01-03-2025,Uttar Pradesh,Muzaffarnagar,244,0.0036359432192880625
01-03-2025,Rajasthan,Jaipur,400,0.041617771852231145
01-03-2025,Rajasthan,Churu,722,0.07393600783407217
01-03-2025,Rajasthan,Bharatpur,433,0.04765003515668542
01-03-2025,Gujarat,Jamnagar,355,0.03497573720168845
01-03-2025,West Bengal,Howrah,2027,0.10342077243800007
01-03-2025,Gujarat,Ahmedabad,1212,0.09464292264611562
01-03-2025,Rajasthan,Jalor,375,0.038890640148044664
01-03-2025,Uttar Pradesh,Bahraich,610,0.060968211939816275
01-03-2025,Tamil Nadu,Nagapattinam,400,0.041617771852231145
01-03-2025,Bihar,Sheikhpura,322,0.02528148860098256
01-03-2025,Andhra Pradesh,Alluri Sitharama Raju,468,0.04820065218345171
01-03-2025,Bihar,Sitamarhi,443,0.04820065218345171
01-03-2025,Jharkhand,Khunti,444,0.04820065218345171
01-03-2025,West Bengal,Hooghly,674,0.06996790337911096
01-03-2025,Delhi,Central Delhi,1567,0.09989893877539224
01-03-2025,Uttar Pradesh,Deoria,817,0.0784940564165979
01-03-2025,Jharkhand,Giridih,3029,0.1093223595445959
01-03-2025,Odisha,Koraput,474,0.049854740268833186
01-03-2025,Uttar Pradesh,Shahjahanpur,1112,0.09231716912215493
01-03-2025,Karnataka,Bengaluru,1028,0.08710718020875008
01-03-2025,Punjab,Jalandhar,1105,0.09231716912215493
01-03-2025,Uttar Pradesh,Kannauj,643,0.06658159696317212
01-03-2025,Punjab,Jalandhar,344,0.03119171638457774
01-03-2025,Andhra Pradesh,Alluri Sitharama Raju,268,0.009909192472788098
01-03-2025,Rajasthan,Jodhpur,772,0.07678189637905042
01-03-2025,Andhra Pradesh,Visakhapatnam,755,0.0750732080890576
01-03-2025,Uttar Pradesh,Amethi,401,0.041617771852231145
01-03-2025,Tamil Nadu,Salem,357,0.03660295463633956
01-03-2025,Tamil Nadu,Cuddalore,530,0.05372736075486939
01-03-2025,Bihar,Muzaffarpur,1974,0.10342077243800007
01-03-2025,Odisha,Ganjam,476,0.049854740268833186
