date,state,district,total,anomaly_score
02-03-2025,Meghalaya,East Khasi Hills,109,0.09860102928340819
09-03-2025,Karnataka,Bengaluru Urban,86,0.0906190254931114
09-03-2025,Uttar Pradesh,Kanpur Nagar,123,0.10032131752212037
09-03-2025,Uttar Pradesh,Aligarh,106,0.09860102928340819
09-03-2025,Karnataka,Bengaluru Urban,51,0.05128265609931326
09-03-2025,Bihar,Sitamarhi,81,0.08948489873379994
09-03-2025,Bihar,Sitamarhi,89,0.0906190254931114
09-03-2025,Uttar Pradesh,Bahraich,100,0.09688422927380713
09-03-2025,Uttar Pradesh,Firozabad,64,0.06491847067031031
09-03-2025,Bihar,Purbi Champaran,88,0.0906190254931114
09-03-2025,Uttar Pradesh,Maharajganj,114,0.09860102928340819
09-03-2025,Bihar,Sitamarhi,145,0.10839566008020063
09-03-2025,Maharashtra,Aurangabad,100,0.09688422927380713
09-03-2025,Bihar,Sitamarhi,269,0.12595752574396424
09-03-2025,Uttar Pradesh,Ghaziabad,174,0.11888997526514833
09-03-2025,Haryana,Faridabad,150,0.1101358492486002
09-03-2025,Karnataka,Bengaluru Urban,66,0.06712168461365953
09-03-2025,Bihar,Madhubani,160,0.11537766001451655
09-03-2025,Karnataka,Bengaluru Urban,45,0.0331042340826615
09-03-2025,Rajasthan,Sikar,94,0.09517091042023373
09-03-2025,Bihar,Bhagalpur,71,0.07711026919017683
09-03-2025,Punjab,Amritsar,49,0.04481893896979827
09-03-2025,Haryana,Gurugram,50,0.04804423764973309
09-03-2025,Uttar Pradesh,Gautam Buddha Nagar,290,0.12595752574396424
09-03-2025,Delhi,West Delhi,55,0.056165000144022814
09-03-2025,Madhya Pradesh,Bhind,66,0.06712168461365953
09-03-2025,Madhya Pradesh,Gwalior,70,0.07376721561097355
09-03-2025,Madhya Pradesh,Katni,106,0.09860102928340819
09-03-2025,Delhi,West Delhi,177,0.12006391910282399
09-03-2025,Bihar,Purbi Champaran,102,0.09802837538211229
09-03-2025,West Bengal,Coochbehar,50,0.04804423764973309
09-03-2025,Uttar Pradesh,Lucknow,142,0.10839566008020063
09-03-2025,West Bengal,Dinajpur Uttar,71,0.07711026919017683
15-03-2025,Assam,Marigaon,67,0.06988410028191139
15-03-2025,Assam,Kokrajhar,44,0.03257587942885731
15-03-2025,Uttar Pradesh,Agra,93,0.09517091042023373
15-03-2025,Uttarakhand,Haridwar,60,0.06326996879752633
15-03-2025,Uttar Pradesh,Ghaziabad,174,0.11888997526514833
15-03-2025,Uttar Pradesh,Ghaziabad,57,0.05834449208842141
15-03-2025,Assam,Nagaon,56,0.05670932027448994
15-03-2025,Delhi,West Delhi,76,0.08665628693717953
15-03-2025,Uttar Pradesh,Gautam Buddha Nagar,199,0.12359529697240645
15-03-2025,Uttar Pradesh,Maharajganj,79,0.08835230560591023
15-03-2025,Maharashtra,Parbhani,68,0.07043770570858487
15-03-2025,Uttar Pradesh,Ghaziabad,195,0.12241657780250403
15-03-2025,Assam,Marigaon,182,0.12006391910282399
15-03-2025,Meghalaya,West Khasi Hills,192,0.12241657780250403
15-03-2025,Bihar,Purbi Champaran,146,0.1101358492486002
15-03-2025,Assam,Marigaon,48,0.03893979010205628
15-03-2025,Uttar Pradesh,Gautam Buddha Nagar,75,0.08158883715810705
15-03-2025,Bihar,Sitamarhi,155,0.11362684202444784
15-03-2025,Assam,Kokrajhar,58,0.05834449208842141
15-03-2025,Delhi,North West Delhi,60,0.06326996879752633
15-03-2025,Uttar Pradesh,Agra,182,0.12006391910282399
15-03-2025,Meghalaya,West Jaintia Hills,139,0.10839566008020063
15-03-2025,Uttar Pradesh,Agra,78,0.08665628693717953
15-03-2025,Uttar Pradesh,Ghaziabad,89,0.0906190254931114
15-03-2025,Bihar,Madhubani,84,0.0906190254931114
15-03-2025,Uttar Pradesh,Unnao,130,0.106080895524296
15-03-2025,Bihar,Sitamarhi,63,0.06491847067031031
15-03-2025,Uttar Pradesh,Saharanpur,253,0.12595752574396424
20-03-2025,Assam,Dibrugarh,36,0.011218266154315981
20-03-2025,Assam,Udalguri,90,0.0906190254931114
20-03-2025,Assam,Chirang,56,0.05670932027448994
20-03-2025,Assam,Kamrup,46,0.036281880050448856
20-03-2025,Assam,Dhubri,78,0.08665628693717953
20-03-2025,Uttar Pradesh,Jaunpur,151,0.1101358492486002
20-03-2025,Maharashtra,Thane,47,0.03947245194766147
20-03-2025,Karnataka,Bengaluru Urban,53,0.05182367178486924
20-03-2025,Assam,Dhemaji,85,0.0906190254931114
20-03-2025,Uttar Pradesh,Agra,66,0.06712168461365953
20-03-2025,Assam,Kokrajhar,136,0.10839566008020063
20-03-2025,Gujarat,Banas Kantha,63,0.06491847067031031
20-03-2025,Bihar,Sitamarhi,126,0.10032131752212037
20-03-2025,Karnataka,Bengaluru Urban,92,0.09517091042023373
20-03-2025,Uttar Pradesh,Firozabad,127,0.10032131752212037
20-03-2025,Madhya Pradesh,Gwalior,116,0.09860102928340819
20-03-2025,Uttar Pradesh,Agra,232,0.1241852549561614
20-03-2025,Maharashtra,Aurangabad,190,0.12241657780250403
20-03-2025,Assam,Dhubri,163,0.11654684786621727
20-03-2025,Assam,Tinsukia,65,0.0654687152831307
20-03-2025,Andhra Pradesh,Spsr Nellore,51,0.05128265609931326
20-03-2025,Karnataka,Bengaluru Urban,39,0.020002020874769877
