date,state,district,pincode,total,anomaly_score
01-04-2025,Uttar Pradesh,Moradabad,244001,11612,0.10206868085672471
01-04-2025,Delhi,West Delhi,110059,12204,0.10206868085672471
01-04-2025,Madhya Pradesh,Barwani,451551,10085,0.10206868085672471
01-04-2025,Delhi,South Delhi,110044,12395,0.10206868085672471
01-07-2025,Maharashtra,Aurangabad,431001,11941,0.10206868085672471
01-04-2025,Delhi,South Delhi,110062,13381,0.10206868085672471
01-07-2025,Uttar Pradesh,Moradabad,244001,9905,0.10206868085672471
01-04-2025,Delhi,West Delhi,110041,9816,0.10206868085672471
01-04-2025,Delhi,North West Delhi,110086,12805,0.10206868085672471
01-04-2025,Delhi,North West Delhi,110042,10300,0.10148190750646313
01-07-2025,Bihar,Purnia,854315,5561,0.10030955114315232
01-03-2025,Uttar Pradesh,Aligarh,202001,5965,0.10030955114315232
01-07-2025,Haryana,Faridabad,121004,7429,0.10030955114315232
01-07-2025,Maharashtra,Nashik,423203,7816,0.10030955114315232
01-03-2025,Punjab,Patiala,147001,3632,0.10030955114315232
01-07-2025,Haryana,Kaithal,136027,5228,0.10030955114315232
01-07-2025,Haryana,Rohtak,124001,4928,0.10030955114315232
01-03-2025,Punjab,Bathinda,151001,3356,0.10030955114315232
01-07-2025,Rajasthan,Pali,306401,3432,0.10030955114315232
01-07-2025,Punjab,Amritsar,143001,6981,0.10030955114315232
01-07-2025,Uttar Pradesh,Firozabad,283203,5982,0.10030955114315232
01-07-2025,Manipur,Imphal West,795001,4599,0.10030955114315232
01-04-2025,Andhra Pradesh,Kurnool,518501,3225,0.10030955114315232
01-03-2025,Gujarat,Surat,395010,3990,0.10030955114315232
01-03-2025,Uttar Pradesh,Mirzapur,231001,4326,0.10030955114315232
01-07-2025,Gujarat,Banaskantha,385535,4055,0.10030955114315232
01-03-2025,Jharkhand,Dhanbad,828109,4515,0.10030955114315232
01-07-2025,Punjab,Patiala,147001,5265,0.10030955114315232
01-03-2025,Uttar Pradesh,Shahjahanpur,242001,5367,0.10030955114315232
01-03-2025,Bihar,Gaya,824232,4706,0.10030955114315232
01-07-2025,Rajasthan,Nagaur,341001,4243,0.10030955114315232
01-07-2025,Uttar Pradesh,Unnao,209801,4472,0.10030955114315232
01-07-2025,Maharashtra,Akola,444001,4963,0.10030955114315232
01-03-2025,Jharkhand,Lohardaga,835302,4686,0.10030955114315232
01-07-2025,Maharashtra,Thane,421302,6763,0.10030955114315232
01-07-2025,Manipur,Imphal East,795010,4042,0.10030955114315232
01-07-2025,Rajasthan,Jaipur,302012,3772,0.10030955114315232
01-07-2025,Chandigarh,Chandigarh,160014,4885,0.10030955114315232
01-07-2025,Rajasthan,Sirohi,307026,3419,0.10030955114315232
01-07-2025,Chandigarh,Chandigarh,160036,3946,0.10030955114315232
01-07-2025,Maharashtra,Jalna,431203,5362,0.10030955114315232
01-07-2025,Haryana,Panipat,132103,9154,0.10030955114315232
01-07-2025,Madhya Pradesh,Ratlam,457001,8115,0.10030955114315232
01-07-2025,Madhya Pradesh,Shivpuri,473551,6919,0.10030955114315232
01-07-2025,Uttar Pradesh,Lalitpur,284403,4236,0.10030955114315232
01-07-2025,Meghalaya,West Garo Hills,794104,4189,0.10030955114315232
01-07-2025,Punjab,Gurdaspur,143505,3769,0.10030955114315232
01-07-2025,Madhya Pradesh,Guna,473001,6945,0.10030955114315232
01-06-2025,Haryana,Panipat,132103,4563,0.10030955114315232
01-07-2025,Uttar Pradesh,Shahjahanpur,242001,5584,0.10030955114315232
01-06-2025,Punjab,Bathinda,151001,3523,0.10030955114315232
01-03-2025,Uttar Pradesh,Moradabad,244001,9411,0.10030955114315232
01-04-2025,Andhra Pradesh,Kurnool,518301,3150,0.10030955114315232
01-07-2025,Maharashtra,Jalgaon,425401,4290,0.10030955114315232
01-04-2025,Jharkhand,Dhanbad,828109,5213,0.10030955114315232
01-04-2025,Jharkhand,Ranchi,834001,3777,0.10030955114315232
01-07-2025,Gujarat,Rajkot,360003,3187,0.10030955114315232
01-06-2025,Gujarat,Surat,394210,4106,0.10030955114315232
01-06-2025,Bihar,Purnia,854315,5158,0.10030955114315232
01-06-2025,Punjab,Patiala,147001,5070,0.10030955114315232
01-06-2025,Meghalaya,West Garo Hills,794104,3921,0.10030955114315232
01-06-2025,Uttar Pradesh,Meerut,250002,4392,0.10030955114315232
01-07-2025,Madhya Pradesh,Burhanpur,450331,9108,0.10030955114315232
01-06-2025,Madhya Pradesh,Singrauli,486886,6686,0.10030955114315232
01-03-2025,Mizoram,Champhai,796321,3740,0.10030955114315232
01-06-2025,Uttar Pradesh,Saharanpur,247001,6278,0.10030955114315232
01-06-2025,Uttar Pradesh,Aligarh,202001,6361,0.10030955114315232
01-07-2025,Uttar Pradesh,Mirzapur,231001,4163,0.10030955114315232
01-04-2025,Gujarat,Surat,395004,3409,0.10030955114315232
01-06-2025,Uttar Pradesh,Firozabad,283203,4479,0.10030955114315232
01-07-2025,Uttar Pradesh,Aligarh,202001,8604,0.10030955114315232
01-07-2025,Gujarat,Surat,395010,4145,0.10030955114315232
01-06-2025,Gujarat,Rajkot,360003,3249,0.10030955114315232
01-04-2025,Jharkhand,Deoghar,815353,3835,0.10030955114315232
01-04-2025,Jharkhand,Lohardaga,835302,4930,0.10030955114315232
01-04-2025,Bihar,Purnia,854315,6332,0.10030955114315232
01-04-2025,Uttar Pradesh,Ghaziabad,201001,4710,0.10030955114315232
01-04-2025,Delhi,North East Delhi,110094,11987,0.10030955114315232
01-04-2025,Uttar Pradesh,Saharanpur,247001,8239,0.10030955114315232
01-06-2025,Maharashtra,Aurangabad,431001,7952,0.10030955114315232
01-06-2025,Maharashtra,Thane,421302,4766,0.10030955114315232
01-06-2025,Gujarat,Surat,395010,4056,0.10030955114315232
01-06-2025,Punjab,Amritsar,143001,5952,0.10030955114315232
01-07-2025,Madhya Pradesh,Dewas,455001,6654,0.10030955114315232
01-07-2025,Punjab,Bathinda,151001,3711,0.10030955114315232
01-05-2025,Uttar Pradesh,Ghaziabad,201001,4359,0.10030955114315232
01-04-2025,Jharkhand,Bokaro,827013,4238,0.10030955114315232
01-04-2025,Uttarakhand,Dehradun,248001,4301,0.10030955114315232
01-04-2025,Andhra Pradesh,Kurnool,518360,3884,0.10030955114315232
01-04-2025,Haryana,Panipat,132103,6271,0.10030955114315232
01-04-2025,Madhya Pradesh,Singrauli,486886,8985,0.10030955114315232
01-04-2025,Uttar Pradesh,Aligarh,202001,7980,0.10030955114315232
01-05-2025,Uttar Pradesh,Firozabad,283203,7428,0.10030955114315232
01-05-2025,Uttar Pradesh,Meerut,250002,5311,0.10030955114315232
01-07-2025,Uttar Pradesh,Ghaziabad,201001,5178,0.10030955114315232
01-07-2025,Chandigarh,Chandigarh,160101,4418,0.10030955114315232
01-07-2025,Gujarat,Surat,394210,5038,0.10030955114315232
01-06-2025,Maharashtra,Thane,400612,4123,0.10030955114315232
01-06-2025,Uttar Pradesh,Moradabad,244001,6685,0.10030955114315232
01-06-2025,Madhya Pradesh,Shivpuri,473551,5781,0.10030955114315232
01-06-2025,Madhya Pradesh,Ratlam,457001,6250,0.10030955114315232
01-03-2025,Madhya Pradesh,Sidhi,486661,8196,0.10030955114315232
01-03-2025,Mizoram,Aizawl,796001,3139,0.10030955114315232
01-05-2025,Punjab,Amritsar,143001,5212,0.10030955114315232
01-05-2025,Punjab,Patiala,147001,3957,0.10030955114315232
01-05-2025,Uttarakhand,Dehradun,248001,3263,0.10030955114315232
01-07-2025,Madhya Pradesh,Vidisha,464228,6371,0.10030955114315232
01-05-2025,Madhya Pradesh,Bhopal,462001,6000,0.10030955114315232
01-07-2025,Manipur,Thoubal,795138,4328,0.10030955114315232
01-05-2025,Maharashtra,Thane,421302,4981,0.10030955114315232
01-05-2025,Uttar Pradesh,Moradabad,244001,8286,0.10030955114315232
01-07-2025,Maharashtra,Thane,400612,5304,0.10030955114315232
01-07-2025,Maharashtra,Thane,421301,4955,0.10030955114315232
01-07-2025,Uttar Pradesh,Ghaziabad,201102,6233,0.10030955114315232
01-04-2025,Punjab,Amritsar,143001,5260,0.10030955114315232
01-04-2025,Uttar Pradesh,Etah,207001,5423,0.10030955114315232
01-04-2025,Uttar Pradesh,Meerut,250002,6008,0.10030955114315232
01-05-2025,Maharashtra,Aurangabad,431001,7379,0.10030955114315232
01-04-2025,Maharashtra,Aurangabad,431001,6584,0.10030955114315232
01-04-2025,Jharkhand,West Singhbhum,833214,5493,0.10030955114315232
01-04-2025,Maharashtra,Thane,400612,4277,0.10030955114315232
01-04-2025,Haryana,Karnal,132001,4273,0.10030955114315232
01-05-2025,Gujarat,Surat,395010,4644,0.10030955114315232
01-05-2025,Gujarat,Surat,395006,3151,0.10030955114315232
01-05-2025,Gujarat,Surat,394210,4787,0.10030955114315232
01-05-2025,Gujarat,Surat,395004,3722,0.10030955114315232
01-03-2025,Uttar Pradesh,Meerut,250002,5354,0.10030955114315232
01-05-2025,Gujarat,Ahmedabad,380001,3174,0.10030955114315232
01-03-2025,Haryana,Panipat,132103,5611,0.10030955114315232
01-05-2025,Uttar Pradesh,Saharanpur,247001,7981,0.10030955114315232
01-03-2025,Jharkhand,Deoghar,815353,3840,0.10030955114315232
01-03-2025,Uttar Pradesh,Saharanpur,247001,7699,0.10030955114315232
01-05-2025,Uttar Pradesh,Aligarh,202001,8057,0.10030955114315232
01-07-2025,Manipur,Imphal East,795005,5299,0.10030955114315232
01-04-2025,Gujarat,Surat,395010,4061,0.10030955114315232
01-04-2025,Gujarat,Surat,394210,4216,0.10030955114315232
01-05-2025,Haryana,Panipat,132103,4772,0.10030955114315232
01-05-2025,Maharashtra,Thane,400612,4218,0.10030955114315232
01-07-2025,Uttar Pradesh,Muzaffarnagar,251001,4604,0.10030955114315232
01-07-2025,Uttar Pradesh,Saharanpur,247001,7729,0.10030955114315232
01-03-2025,Gujarat,Surat,394210,4079,0.10030955114315232
01-04-2025,Uttar Pradesh,Agra,282001,4911,0.10030955114315232
01-04-2025,Madhya Pradesh,Sidhi,486661,8313,0.10030955114315232
01-07-2025,Uttar Pradesh,Kanpur Nagar,208001,4286,0.10030955114315232
01-07-2025,Uttar Pradesh,Meerut,250002,5388,0.10030955114315232
01-04-2025,Haryana,Hisar,125001,4446,0.10030955114315232
01-07-2025,Manipur,Imphal East,795008,4247,0.10030955114315232
01-04-2025,Andhra Pradesh,Chittoor,517425,3072,0.10030955114315232
01-04-2025,Haryana,Sirsa,125055,4385,0.10030955114315232
01-04-2025,Uttar Pradesh,Firozabad,283203,9453,0.10030955114315232
01-04-2025,Haryana,Rohtak,124001,5101,0.10030955114315232
01-07-2025,Rajasthan,Bikaner,334001,5216,0.10030955114315232
01-07-2025,Chandigarh,Chandigarh,160047,4246,0.10030955114315232
01-07-2025,Haryana,Hisar,125001,7138,0.10030955114315232
01-03-2025,Haryana,Rohtak,124001,4397,0.10030955114315232
01-07-2025,Haryana,Sirsa,125055,4774,0.10030955114315232
01-07-2025,Rajasthan,Jodhpur,342001,4681,0.10030955114315232
01-07-2025,Uttarakhand,Dehradun,248001,6719,0.10030955114315232
01-03-2025,Punjab,Ludhiana,141008,3047,0.10030955114315232
01-07-2025,Punjab,Ludhiana,141008,3047,0.10030955114315232
01-07-2025,Manipur,Imphal West,795132,3382,0.10030955114315232
01-07-2025,Rajasthan,Alwar,301001,4179,0.10030955114315232
01-03-2025,Punjab,Amritsar,143001,5733,0.10030955114315232
01-03-2025,Uttarakhand,Dehradun,248001,3583,0.10030955114315232
01-03-2025,Maharashtra,Aurangabad,431001,8106,0.10030955114315232
01-03-2025,Uttar Pradesh,Firozabad,283203,5507,0.10030955114315232
01-07-2025,Jharkhand,Dhanbad,828109,3604,0.0997239675934346
01-07-2025,Punjab,Ludhiana,141001,2882,0.0997239675934346
01-07-2025,Gujarat,Ahmedabad,380001,3106,0.0997239675934346
01-04-2025,Maharashtra,Thane,421302,3958,0.0997239675934346
01-04-2025,Rajasthan,Jodhpur,342001,3304,0.0997239675934346
01-04-2025,Gujarat,Surat,395006,2866,0.0997239675934346
01-07-2025,Gujarat,Panchmahals,389001,2908,0.0997239675934346
01-07-2025,Uttar Pradesh,Agra,282001,4644,0.0997239675934346
01-04-2025,Uttar Pradesh,Mirzapur,231001,4087,0.0997239675934346
01-04-2025,Uttar Pradesh,Unnao,209801,4077,0.0997239675934346
01-04-2025,Uttar Pradesh,Rampur,244901,6887,0.0997239675934346
01-07-2025,Jharkhand,Lohardaga,835302,3605,0.0997239675934346
01-07-2025,Madhya Pradesh,Jhabua,457661,5633,0.0997239675934346
01-03-2025,Gujarat,Surat,395004,2900,0.0997239675934346
01-05-2025,Uttar Pradesh,Ghaziabad,201102,4132,0.0997239675934346
01-07-2025,Manipur,Thoubal,795103,3884,0.0997239675934346
01-07-2025,Maharashtra,Nandurbar,425412,5601,0.0997239675934346
01-06-2025,Maharashtra,Thane,421301,4023,0.0997239675934346
01-03-2025,Gujarat,Surat,395006,2821,0.0997239675934346
