date,state,district,pincode,total,anomaly_score
01-03-2025,Gujarat,Surat,395006,5319,0.11969734103020235
01-03-2025,Rajasthan,Baran,325220,5381,0.11969734103020235
01-03-2025,Jharkhand,Palamu,822123,4689,0.11969734103020235
01-04-2025,Gujarat,Surat,395006,5155,0.11969734103020235
01-05-2025,Uttar Pradesh,Saharanpur,247001,7740,0.11969734103020235
01-06-2025,Uttar Pradesh,Shahjahanpur,242001,10352,0.11969734103020235
01-03-2025,Rajasthan,Jodhpur,342001,5348,0.11969734103020235
01-07-2025,Gujarat,Surat,395006,4824,0.11969734103020235
01-07-2025,Gujarat,Surat,395004,4782,0.11969734103020235
01-07-2025,Uttar Pradesh,Moradabad,244001,16130,0.11969734103020235
01-03-2025,Uttar Pradesh,Aligarh,202001,8488,0.11969734103020235
01-03-2025,Jharkhand,Palamu,822113,5130,0.11969734103020235
01-03-2025,Uttar Pradesh,Firozabad,283203,9899,0.11969734103020235
01-03-2025,Uttar Pradesh,Meerut,250002,7081,0.11969734103020235
01-03-2025,Rajasthan,Jalor,343041,5050,0.11969734103020235
01-07-2025,Uttar Pradesh,Ghaziabad,201102,7319,0.11969734103020235
01-03-2025,Rajasthan,Alwar,301001,4754,0.11969734103020235
01-06-2025,Chhattisgarh,Mahasamund,493558,14259,0.11969734103020235
01-03-2025,Haryana,Gurgaon,122001,5513,0.11969734103020235
01-03-2025,Maharashtra,Thane,421302,4649,0.11969734103020235
01-07-2025,Maharashtra,Thane,400612,5544,0.11969734103020235
01-03-2025,Jharkhand,Giridih,815312,5828,0.11969734103020235
01-07-2025,Rajasthan,Jaipur,302012,4658,0.11969734103020235
01-05-2025,Maharashtra,Thane,421302,4745,0.11969734103020235
01-03-2025,Uttar Pradesh,Moradabad,244001,11444,0.11969734103020235
01-04-2025,Haryana,Gurgaon,122001,6319,0.11969734103020235
01-03-2025,Uttar Pradesh,Saharanpur,247001,7799,0.11969734103020235
01-03-2025,Rajasthan,Baran,325221,8090,0.11969734103020235
01-03-2025,Punjab,Amritsar,143001,5997,0.11969734103020235
01-05-2025,Uttar Pradesh,Moradabad,244001,10872,0.11969734103020235
01-06-2025,Uttar Pradesh,Moradabad,244001,11385,0.11969734103020235
01-04-2025,Uttar Pradesh,Firozabad,283203,9196,0.11969734103020235
01-04-2025,Uttar Pradesh,Aligarh,202001,10374,0.11969734103020235
01-05-2025,Haryana,Panipat,132103,6081,0.11969734103020235
01-03-2025,Jharkhand,Garhwa,822114,4552,0.11969734103020235
01-07-2025,Uttar Pradesh,Gautam Buddha Nagar,201301,7379,0.11969734103020235
01-07-2025,Uttar Pradesh,Aligarh,202001,12209,0.11969734103020235
01-07-2025,Gujarat,Surat,395010,6509,0.11969734103020235
01-05-2025,Gujarat,Surat,394210,7053,0.11969734103020235
01-03-2025,Uttar Pradesh,Budaun,243601,6441,0.11969734103020235
01-04-2025,Delhi,West Delhi,110059,16094,0.11969734103020235
01-03-2025,Jharkhand,Deoghar,815353,7461,0.11969734103020235
01-05-2025,Punjab,Amritsar,143001,6511,0.11969734103020235
01-03-2025,Jharkhand,Dhanbad,828109,5856,0.11969734103020235
01-03-2025,Rajasthan,Banswara,327801,9303,0.11969734103020235
01-07-2025,Uttar Pradesh,Rampur,244901,10557,0.11969734103020235
01-05-2025,Gujarat,Surat,395004,4843,0.11969734103020235
01-05-2025,Gujarat,Surat,395006,4984,0.11969734103020235
01-07-2025,Uttarakhand,Nainital,263139,4503,0.11969734103020235
01-03-2025,Jharkhand,Sahebganj,816108,6114,0.11969734103020235
01-06-2025,Chhattisgarh,Mahasamund,493449,15690,0.11969734103020235
01-03-2025,Jharkhand,Bokaro,828134,5471,0.11969734103020235
01-04-2025,Gujarat,Surat,395004,5486,0.11969734103020235
