date,state,district,pincode,total,anomaly_score
2025-06-01,Maharashtra,Thane,421302,1019,0.15691347145071255
2025-07-01,Punjab,Patiala,147001,1021,0.15691347145071255
2025-05-01,Uttar Pradesh,Meerut,250002,1926,0.15691347145071255
2025-05-01,Punjab,Amritsar,143001,974,0.15691347145071255
2025-05-01,Uttar Pradesh,Aligarh,202001,1952,0.15691347145071255
2025-06-01,Uttar Pradesh,Saharanpur,247001,1528,0.15691347145071255
2025-06-01,Uttar Pradesh,Firozabad,283203,1926,0.15691347145071255
2025-05-01,Uttar Pradesh,Moradabad,244001,2545,0.15691347145071255
2025-07-01,Chhattisgarh,Bijapur,494444,1078,0.15691347145071255
2025-07-01,Maharashtra,Mumbai Suburban,400043,1637,0.15691347145071255
2025-07-01,Assam,Goalpara,783129,1389,0.15691347145071255
2025-04-01,Uttar Pradesh,Moradabad,244001,2044,0.15691347145071255
2025-07-01,Assam,Hojai,782446,1333,0.15691347145071255
2025-07-01,Haryana,Panipat,132103,1523,0.15691347145071255
2025-07-01,Manipur,Churachandpur,795128,1626,0.15691347145071255
2025-07-01,Maharashtra,Dhule,425405,951,0.15691347145071255
2025-07-01,Chhattisgarh,Raigarh,496001,993,0.15691347145071255
2025-07-01,Maharashtra,Nandurbar,425414,1001,0.15691347145071255
2025-07-01,Maharashtra,Thane,421301,1026,0.15691347145071255
2025-07-01,Uttar Pradesh,Hardoi,241001,3006,0.15691347145071255
2025-07-01,Uttar Pradesh,Aligarh,202001,2845,0.15691347145071255
2025-07-01,Rajasthan,Sirohi,307022,1051,0.15691347145071255
2025-07-01,Uttar Pradesh,Moradabad,244001,3965,0.15691347145071255
2025-07-01,Rajasthan,Bikaner,334001,1245,0.15691347145071255
2025-07-01,Rajasthan,Bharatpur,321001,1393,0.15691347145071255
2025-07-01,Uttar Pradesh,Kanpur Nagar,208001,1659,0.15691347145071255
2025-07-01,Maharashtra,Beed,431122,1179,0.15691347145071255
2025-07-01,Uttar Pradesh,Meerut,250002,2105,0.15691347145071255
2025-07-01,Uttar Pradesh,Gautam Buddha Nagar,201301,1796,0.15691347145071255
2025-07-01,Gujarat,Surat,395010,1424,0.15691347145071255
2025-07-01,Chhattisgarh,Bilaspur,495551,1476,0.15691347145071255
